b3,s9,s0_3,40,60,99.8
b3,s9,s0_3,60,80,90.0
b3,s9,s0_4,80,100,10.9
b4,s10,s0_1,0,20,0.0
b4,s10,s0_1,100,120,1.4
b4,s10,s0_1,120,140,0.0
b4,s10,s0_1,140,160,0.0
b4,s10,s0_1,160,180,3.7
b4,s10,s0_1,180,200,0.0
b4,s10,s0_1,200,220,0.0
b4,s10,s0_1,20,40,178.8
b4,s10,s0_1,220,240,0.0
b4,s10,s0_5,240,260,3.4
b4,s10,s0_1,260,280,0.0
b4,s10,s0_1,280,300,0.0
b4,s10,s0_5,40,60,3.1
b4,s10,s0_1,60,80,0.0
b4,s10,s0_5,80,100,0.0
b4,s1,s0_3,0,20,90.0
b4,s1,s0_3,100,120,90.0
b4,s1,s0_3,120,140,83.0
b4,s1,s0_3,140,160,90.0
b4,s1,s0_3,160,180,87.2
b4,s1,s0_3,180,200,88.9
b4,s1,s0_3,200,220,90.0
b4,s1,s0_3,20,40,83.1
b4,s1,s0_3,220,240,90.0
b4,s1,s0_3,240,260,86.4
b4,s1,s0_3,260,280,90.0
b4,s1,s0_3,280,300,89.1
b4,s1,s0_3,40,60,96.4
b4,s1,s0_3,60,80,85.6
b4,s1,s0_3,80,100,93.4
b4,s2,s0_3,0,20,84.1
b4,s2,s0_3,100,120,74.5
b4,s2,s0_3,120,140,80.2
b4,s2,s0_3,140,160,73.6
b4,s2,s0_3,160,180,82.1
b4,s2,s0_1,180,200,154.2
b4,s2,s0_3,200,220,70.7
b4,s2,s0_2,20,40,66.6
b4,s2,s0_3,220,240,84.1
b4,s2,s0_2,240,260,48.6
b4,s2,s0_3,260,280,90.0
b4,s2,s0_2,280,300,69.2
b4,s2,s0_3,40,60,76.8
b4,s2,s0_3,60,80,84.3
b4,s2,s0_2,80,100,53.6
b4,s3,s0_3,0,20,71.3
b4,s3,s0_2,100,120,62.6
b4,s3,s0_2,120,140,51.1
b4,s3,s0_2,140,160,58.7
b4,s3,s0_2,160,180,59.4
b4,s3,s0_3,180,200,75.6
b4,s3,s0_2,200,220,59.8
b4,s3,s0_2,20,40,55.8
b4,s3,s0_2,220,240,62.0
b4,s3,s0_2,240,260,55.8
b4,s3,s0_2,260,280,61.7
b4,s3,s0_2,280,300,58.7
b4,s3,s0_2,40,60,53.9
