RESULTS,s10,"'b2'",actual,(-249 255),computed,(0 -249),564
RESULTS,s10,"'b3'",actual,(-249 255),computed,(249 0),561
RESULTS,s10,"'b4'",actual,(-249 255),computed,(0 250),250
RESULTS,s10,"'b1', 'b2'",actual,(-249 255),computed,(-231 0),256
RESULTS,s10,"'b1', 'b3'",actual,(-249 255),computed,(-241 0),256
RESULTS,s10,"'b1', 'b4'",actual,(-249 255),computed,(-250 0),255
RESULTS,s10,"'b2', 'b3'",actual,(-249 255),computed,(42 -35158749953057988),35158749953058244
RESULTS,s10,"'b2', 'b4'",actual,(-249 255),computed,(0 8),351
RESULTS,s10,"'b3', 'b4'",actual,(-249 255),computed,(249 117),518
RESULTS,s10,"'b1', 'b2', 'b3'",actual,(-249 255),computed,(-227 -65645610974077872),65645610974078128
RESULTS,s10,"'b1', 'b2', 'b4'",actual,(-249 255),computed,(-231 -197),454
RESULTS,s10,"'b1', 'b3', 'b4'",actual,(-249 255),computed,(-245 -66188049579294952),66188049579295208
RESULTS,s10,"'b2', 'b3', 'b4'",actual,(-249 255),computed,(43 -22937133923027192),22937133923027448
RESULTS,s10,"'b1', 'b2', 'b3', 'b4'",actual,(-249 255),computed,(-226 -45918916749549048),45918916749549304
